item,category,quantity,unit_cost,total_cost
Green Tea 1kg,Raw Material,8,7138.71,57109.68
Green Tea 1kg,Raw Material,9,5916.81,53251.29
Sealing Film Roll,Packaging,8,2369.61,18956.88
Sealing Machine,Equipment,1,5915.15,5915.15
Black Tea 1kg,Raw Material,8,9192.75,73542.0
Cups 50pcs,Packaging,10,6420.61,64206.1
Business Registration,License,9,4303.39,38730.51
Facebook Ads,Marketing,1,2500.46,2500.46
Sealing Film Roll,Packaging,10,1926.56,19265.6
Facebook Ads,Marketing,10,8113.12,81131.2
Opening Promotion,Marketing,7,5825.67,40779.69
Flyers,Marketing,9,7208.11,64872.99
Opening Promotion,Marketing,8,5946.94,47575.52
Creamer 500g,Raw Material,7,679.99,4759.93
Food Safety Permit,License,4,3258.9,13035.6
Monthly Rent,Rent,3,3483.84,10451.52
Opening Promotion,Marketing,9,9403.62,84632.58
Lids 50pcs,Packaging,7,4274.81,29923.67
Milk 1L,Raw Material,8,9241.6,73932.8
Tea Brewer,Equipment,10,3117.2,31172.0
Maintenance Fee,Rent,8,4894.96,39159.68
Straws 50pcs,Packaging,5,8995.98,44979.9
Black Tea 1kg,Raw Material,7,6425.25,44976.75
Maintenance Fee,Rent,6,3678.26,22069.56
Milk 1L,Raw Material,10,349.51,3495.1
Milk 1L,Raw Material,1,30.56,30.56
Maintenance Fee,Rent,7,2922.7,20458.9
Monthly Rent,Rent,5,1807.07,9035.35
